sample_id,connector_name,filename,label,gray_mean,gray_std,band_mean,band_std,board_id
20251106110559_TOP,conn1,20251106110559_TOP.png,OK,0.5356901288032532,0.2589465081691742,0.5367608070373535,0.2072955965995788,20251106110559
20251106110633_TOP,conn1,20251106110633_TOP.png,OK,0.5392799973487854,0.2646432518959045,0.5639916062355042,0.2136934548616409,20251106110633
20251106110712_TOP,conn1,20251106110712_TOP.png,OK,0.5327147841453552,0.2577148377895355,0.558280885219574,0.2226188480854034,20251106110712
20251106110746_TOP,conn1,20251106110746_TOP.png,OK,0.5331306457519531,0.2663253247737884,0.4881881475448608,0.2267427444458007,20251106110746
20251106110824_TOP,conn1,20251106110824_TOP.png,OK,0.5187960267066956,0.2720623612403869,0.4339795410633087,0.2331852167844772,20251106110824
20251106110900_TOP,conn1,20251106110900_TOP.png,OK,0.539746105670929,0.2659504413604736,0.5312493443489075,0.2141457349061966,20251106110900
20251106110939_TOP,conn1,20251106110939_TOP.png,OK,0.5346763730049133,0.2676321566104889,0.5436222553253174,0.2212437838315963,20251106110939
20251106111015_TOP,conn1,20251106111015_TOP.png,OK,0.5130206942558289,0.2570025026798248,0.5072992444038391,0.1944547295570373,20251106111015
20251106111050_TOP,conn1,20251106111050_TOP.png,OK,0.5452530384063721,0.2745223641395569,0.5348904728889465,0.2189389616250991,20251106111050
20251106111126_TOP,conn1,20251106111126_TOP.png,OK,0.5407459139823914,0.2667142152786255,0.471096783876419,0.1982604563236236,20251106111126
20251106111204_TOP,conn1,20251106111204_TOP.png,OK,0.5690441727638245,0.2707813084125519,0.5116860866546631,0.2046443372964859,20251106111204
20251106111239_TOP,conn1,20251106111239_TOP.png,OK,0.5286961793899536,0.2607079148292541,0.5626822113990784,0.2295842915773391,20251106111239
20251106111316_TOP,conn1,20251106111316_TOP.png,OK,0.5729430317878723,0.2673127651214599,0.5635145306587219,0.2139705419540405,20251106111316
20251106111352_TOP,conn1,20251106111352_TOP.png,OK,0.5357000231742859,0.2639013528823852,0.5262530446052551,0.2166458666324615,20251106111352
20251106111429_TOP,conn1,20251106111429_TOP.png,OK,0.5486968755722046,0.2784640192985534,0.5081577301025391,0.1926207095384597,20251106111429
20251106111505_TOP,conn1,20251106111505_TOP.png,OK,0.5547430515289307,0.2733062505722046,0.5594539642333984,0.2196543961763382,20251106111505
20251106111542_TOP,conn1,20251106111542_TOP.png,OK,0.5664471387863159,0.2648734450340271,0.5195016860961914,0.2088158577680587,20251106111542
20251106111617_TOP,conn1,20251106111617_TOP.png,OK,0.560246467590332,0.2717216312885284,0.5127294063568115,0.2004744708538055,20251106111617
20251106111653_TOP,conn1,20251106111653_TOP.png,OK,0.5494856834411621,0.2659017741680145,0.4719565808773041,0.1862750053405761,20251106111653
20251106111729_TOP,conn1,20251106111729_TOP.png,OK,0.5489342212677002,0.2698995471000671,0.5202081799507141,0.214283749461174,20251106111729
20251106111808_TOP,conn1,20251106111808_TOP.png,OK,0.5361067652702332,0.2595844268798828,0.5602325201034546,0.2201131284236908,20251106111808
20251106111842_TOP,conn1,20251106111842_TOP.png,OK,0.5477234721183777,0.2752382755279541,0.5296057462692261,0.2144341766834259,20251106111842
20251106111918_TOP,conn1,20251106111918_TOP.png,OK,0.5295875668525696,0.2566089332103729,0.5456525087356567,0.2056873738765716,20251106111918
20251106111955_TOP,conn1,20251106111955_TOP.png,OK,0.5565636157989502,0.2552657723426819,0.570870041847229,0.2137041389942169,20251106111955
20251106112032_TOP,conn1,20251106112032_TOP.png,OK,0.5571467280387878,0.2646741271018982,0.531542956829071,0.2140142768621444,20251106112032
20251106112109_TOP,conn1,20251106112109_TOP.png,OK,0.5280801057815552,0.2623815238475799,0.4993250370025635,0.1986709684133529,20251106112109
20251106112144_TOP,conn1,20251106112144_TOP.png,OK,0.5642572641372681,0.2740688323974609,0.4997496604919433,0.2041138410568237,20251106112144
20251106112220_TOP,conn1,20251106112220_TOP.png,OK,0.5426539778709412,0.2574183940887451,0.5488977432250977,0.2240060567855835,20251106112220
20251106112255_TOP,conn1,20251106112255_TOP.png,OK,0.5389766693115234,0.2628117203712463,0.5729422569274902,0.217491015791893,20251106112255
20251106112334_TOP,conn1,20251106112334_TOP.png,OK,0.5303323268890381,0.2619070708751678,0.5082770586013794,0.1944194138050079,20251106112334
20251106112409_TOP,conn1,20251106112409_TOP.png,OK,0.5440833568572998,0.256212055683136,0.5450639724731445,0.2148852795362472,20251106112409
20251106112445_TOP,conn1,20251106112445_TOP.png,OK,0.5416178703308105,0.2560539543628692,0.5064957737922668,0.2266073077917099,20251106112445
20251106112523_TOP,conn1,20251106112523_TOP.png,OK,0.5492860674858093,0.2634856104850769,0.5215620994567871,0.2236118614673614,20251106112523
20251106112559_TOP,conn1,20251106112559_TOP.png,OK,0.5594711899757385,0.2783016562461853,0.4619587063789367,0.1991528868675232,20251106112559
20251106112633_TOP,conn1,20251106112633_TOP.png,OK,0.5455319881439209,0.2701279520988464,0.49774169921875,0.2225016951560974,20251106112633
20251106112712_TOP,conn1,20251106112712_TOP.png,OK,0.5782209634780884,0.2708030641078949,0.5690416097640991,0.2262063771486282,20251106112712
20251106112748_TOP,conn1,20251106112748_TOP.png,OK,0.5477112531661987,0.2767356336116791,0.5177768468856812,0.2184451520442962,20251106112748
20251106112823_TOP,conn1,20251106112823_TOP.png,OK,0.5498001575469971,0.2665535509586334,0.5540159344673157,0.2173323333263397,20251106112823
20251106112900_TOP,conn1,20251106112900_TOP.png,OK,0.5568652749061584,0.2619128823280334,0.6596361398696899,0.2307491898536682,20251106112900
20251106112937_TOP,conn1,20251106112937_TOP.png,OK,0.560019314289093,0.2641094624996185,0.5493800640106201,0.2161817550659179,20251106112937
20251106113014_TOP,conn1,20251106113014_TOP.png,OK,0.5248076319694519,0.2773117125034332,0.4435422420501709,0.1942097097635269,20251106113014
20251106113049_TOP,conn1,20251106113049_TOP.png,OK,0.530502200126648,0.2560241520404815,0.5656797289848328,0.2069512754678726,20251106113049
20251106113126_TOP,conn1,20251106113126_TOP.png,OK,0.5346789360046387,0.2660526037216186,0.5489789843559265,0.2115451097488403,20251106113126
20251106113202_TOP,conn1,20251106113202_TOP.png,OK,0.5406843423843384,0.2630144655704498,0.5413154363632202,0.2122509777545929,20251106113202
20251106113240_TOP,conn1,20251106113240_TOP.png,OK,0.5415635108947754,0.2667981088161468,0.5485070943832397,0.2065694034099578,20251106113240
20251106113316_TOP,conn1,20251106113316_TOP.png,OK,0.5452513694763184,0.2704339921474457,0.526554524898529,0.2036571502685547,20251106113316
20251106113351_TOP,conn1,20251106113351_TOP.png,OK,0.5306832790374756,0.2598467469215393,0.5197192430496216,0.2049986720085144,20251106113351
20251106113428_TOP,conn1,20251106113428_TOP.png,OK,0.5368534326553345,0.2659385204315185,0.5205764174461365,0.2098370492458343,20251106113428
20251106130408_TOP,conn1,20251106130408_TOP.png,OK,0.524863064289093,0.2633403241634369,0.4981624186038971,0.2073781341314315,20251106130408
20251106130444_TOP,conn1,20251106130444_TOP.png,OK,0.5381906628608704,0.2649377882480621,0.5155526399612427,0.2039869129657745,20251106130444
20251106130521_TOP,conn1,20251106130521_TOP.png,OK,0.5425583720207214,0.2696576118469238,0.5618748068809509,0.2164076268672943,20251106130521
20251106130557_TOP,conn1,20251106130557_TOP.png,OK,0.5523281693458557,0.274380475282669,0.4351578056812286,0.1960887163877487,20251106130557
20251106130633_TOP,conn1,20251106130633_TOP.png,OK,0.5421865582466125,0.268005758523941,0.4631802141666412,0.2053628414869308,20251106130633
